,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,sma12,sma26,smstd12,smstd26,rsi14,uprBol,lwrBol
0,AAPL,2019-01-02 00:00:00+00:00,157.92,158.85,154.23,154.89,37039737,155.2017652624,156.115757421,151.5752802458,152.2239198423,37039737,0.0,1.0,,,,,,,
1,AAPL,2019-01-03 00:00:00+00:00,142.19,145.72,142.0,143.98,91312195,139.7425215467,143.21176060049999,139.5557919659,141.5017107553,91312195,0.0,1.0,,,,,,,
2,AAPL,2019-01-04 00:00:00+00:00,148.26,148.5499,143.8,144.53,58607070,145.70804025959998,145.9929502885,141.3248090472,142.0422437524,58607070,0.0,1.0,,,,,,,
3,AAPL,2019-01-07 00:00:00+00:00,147.93,148.83,145.9,148.7,54777764,145.3837204614,146.268229002,143.38866230870002,146.14046665729998,54777764,0.0,1.0,,,,,,,
4,AAPL,2019-01-08 00:00:00+00:00,150.75,151.82,148.52,149.56,41025314,148.15518055540002,149.2067629315,145.9635649492,146.9856637072,41025314,0.0,1.0,,,,,,,
5,AAPL,2019-01-09 00:00:00+00:00,153.31,154.53,149.63,151.29,45099081,150.6711159598,151.870116426,147.0544588159,148.6858856798,45099081,0.0,1.0,,,,,,,
6,AAPL,2019-01-10 00:00:00+00:00,153.8,153.97,150.86,152.5,35780670,151.1526817209,151.31975555629998,148.2632871548,149.8750582733,35780670,0.0,1.0,,,,,,,
7,AAPL,2019-01-11 00:00:00+00:00,152.29,153.7,151.51,152.88,27023241,149.6686729471,151.0544029941,148.90209887860001,150.2485174349,27023241,0.0,1.0,,,,,,,
8,AAPL,2019-01-14 00:00:00+00:00,150.0,151.27,149.22,150.85,32439186,147.4180901049,148.6662299344,146.6515160363,148.25345928209998,32439186,0.0,1.0,,,,,,,
9,AAPL,2019-01-15 00:00:00+00:00,153.07,153.39,150.05,150.27,28710324,150.43524701569999,150.7497389412,147.4672294682,147.683442667,28710324,0.0,1.0,,,,,,,
10,AAPL,2019-01-16 00:00:00+00:00,154.94,155.88,153.0,153.08,30569706,152.2730592056,153.19687923700002,150.366451907,150.4450748883,30569706,0.0,1.0,,,,,,,
11,AAPL,2019-01-17 00:00:00+00:00,155.86,157.66,153.26,154.2,29821160,153.1772234916,154.9462405729,150.6219765965,151.5457966278,29821160,0.0,1.0,149.08227654425835,,4.148472219124195,,,,
12,AAPL,2019-01-18 00:00:00+00:00,156.82,157.88,155.9806,157.5,33751023,154.1206992683,155.1624537717,153.2957476361,154.7889946101,33751023,0.0,1.0,148.99218771141668,,4.013026614350508,,,,
13,AAPL,2019-01-22 00:00:00+00:00,153.3,156.73,152.62,156.41,30393970,150.6612880872,154.0322484142,149.99299274540002,153.71775648870002,30393970,0.0,1.0,149.90208492312502,,2.7706714866712185,,,,
14,AAPL,2019-01-23 00:00:00+00:00,153.92,155.14,151.7,154.15,23130570,151.2706161929,152.4696166591,149.0888284594,151.4966572644,23130570,0.0,1.0,150.36563291756667,,2.452219247881412,,45.322731524738906,,
15,AAPL,2019-01-24 00:00:00+00:00,152.7,154.48,151.74,154.11,25441549,150.0716157267,151.8209770627,149.1281399501,151.4573457737,25441549,0.0,1.0,150.75629085634168,,1.8969545574315232,,43.97165596195574,,
16,AAPL,2019-01-25 00:00:00+00:00,157.76,158.13,154.32,155.48,33547893,155.04451929959998,155.4081505885,151.6637310999,152.80376433,33547893,0.0,1.0,151.33040241835832,,2.072562793845805,,50.55519748251796,,
17,AAPL,2019-01-28 00:00:00+00:00,156.3,156.33,153.66,155.79,26192058,153.60964988930002,153.6391335073,151.01509150340001,153.1084283829,26192058,0.0,1.0,151.57528024581666,,2.1593646050624242,,48.77433584437063,,
18,AAPL,2019-01-29 00:00:00+00:00,154.68,158.13,154.11,156.25,41587239,152.0175345161,155.4081505885,151.4573457737,153.5605105259,41587239,0.0,1.0,151.64735131208332,,2.1584101669509335,,46.804200593504305,,
19,AAPL,2019-01-30 00:00:00+00:00,165.25,166.15,160.23,163.25,61109780,162.4055959322,163.2901044728,157.47200385,160.4400213975,61109780,0.0,1.0,152.70876156084165,,3.6872216391324706,,58.56457464037372,,
20,AAPL,2019-01-31 00:00:00+00:00,166.44,169.0,164.56,166.11,40739649,163.57511278040002,166.0910481848,161.7274727177,163.2507929821,40739649,0.0,1.0,154.05518011713332,,4.450576130266908,,59.646219474412106,,
21,AAPL,2019-02-01 00:00:00+00:00,166.52,168.98,165.93,166.96,32668138,163.6537357617,166.07139243950002,163.073891274,164.0861621594,32668138,0.0,1.0,155.15672084596665,,5.066391560433623,,59.72234053193938,,
22,AAPL,2019-02-04 00:00:00+00:00,171.25,171.655,167.28,167.41,31495582,168.3023195364,168.7003483797,164.4006540849,164.5284164297,31495582,0.0,1.0,156.4924925402,,6.21896941275339,,64.04131134008108,,
23,AAPL,2019-02-05 00:00:00+00:00,174.18,175.08,172.3501,172.86,36101628,171.1818862298,172.0663947704,169.3834838092,169.8846070368,36101628,0.0,1.0,157.99288110171668,,7.4051865988488705,,66.44183200881281,,
24,AAPL,2019-02-06 00:00:00+00:00,174.24,175.57,172.8531,174.65,28239591,171.2408534658,172.54796053139998,169.8778258047,171.6437962454,28239591,0.0,1.0,159.41956061817498,,8.198085588598069,,66.49116406963506,,
25,AAPL,2019-02-07 00:00:00+00:00,170.94,173.94,170.34,172.4,31741690,167.9976554835,170.9460172856,167.4079831231,169.4325248939,31741690,0.0,1.0,160.86425790119998,154.77463079619233,8.04038246158669,8.370467054761638,61.165374228807174,171.5155649057156,138.03369668666906
26,AAPL,2019-02-08 00:00:00+00:00,170.41,170.66,168.42,168.99,23819966,168.194212937,168.4409622664,166.2300882744,166.7926767456,23819966,0.73,1.0,162.27455762987498,155.27434032213847,7.680839129806937,8.775028795359153,61.36733892096355,172.82439791285677,137.72428273142017
27,AAPL,2019-02-11 00:00:00+00:00,169.43,171.21,169.25,171.05,20993425,167.2269555655,168.9838107913,167.0492960483,168.8258912204,20993425,0.0,1.0,163.7041692831083,156.3314339382462,6.742249203813087,8.479627953922806,59.72136382871159,173.2906898460918,139.3721780304006
28,AAPL,2019-02-12 00:00:00+00:00,170.89,171.0,169.7,170.1,22283523,168.6679716495,168.7765413545,167.4934448413,167.8882437684,22283523,0.0,1.0,164.8394569789333,157.2145082224731,6.282880244671521,8.524460335752362,61.383146829160815,174.26342889397785,140.16558755096838
29,AAPL,2019-02-13 00:00:00+00:00,170.18,172.48,169.92,171.39,22490233,167.9672035539,170.2372973849,167.7105842512,169.16147030850001,22490233,0.0,1.0,166.03591978431663,158.0831037260308,5.22856123342627,8.420683122810166,60.084906427434724,174.92446997165112,141.24173748041048
30,AAPL,2019-02-14 00:00:00+00:00,170.8,171.2615,169.38,169.71,21835747,168.5791418909,169.03464115309998,167.17760569959998,167.50331481450002,21835747,0.0,1.0,167.41605373221662,158.86864070047312,2.8254041524914704,8.410129578674349,60.863315742080424,175.6888998578218,142.04838154312444
31,AAPL,2019-02-15 00:00:00+00:00,170.42,171.7,169.75,171.25,24626814,168.2040829101,169.467439477,167.5427947072,169.023290684,24626814,0.0,1.0,167.89926098037498,159.54298558317697,2.3457200204444146,8.429436021671007,60.08983681239113,176.401857626519,142.68411353983495
32,AAPL,2019-02-19 00:00:00+00:00,170.93,171.44,169.49,169.71,18972826,168.7074515423,169.2108201744,167.2861754045,167.50331481450002,18972826,0.0,1.0,168.3269558772,160.21816903784622,1.9137366064906884,8.433557584713038,60.80968822399973,177.0852842072723,143.35105386842014
33,AAPL,2019-02-20 00:00:00+00:00,172.03,173.32,170.99,171.19,26114362,169.7931485919,171.06637513200002,168.7666713813,168.9640708449,26114362,0.0,1.0,168.83857361304996,160.99218733187698,1.259724649795926,8.349692190139228,62.385560949132504,177.69157171215542,144.29280295159853
34,AAPL,2019-02-21 00:00:00+00:00,171.06,172.37,170.3,171.8,17249670,168.8357611936,170.12872768,168.085643232,169.5661392088,17249670,0.0,1.0,168.8830270844833,161.81594391221157,1.2484424575463446,8.006388898008701,60.0909186435393,177.82872170822895,145.80316611619418
35,AAPL,2019-02-22 00:00:00+00:00,172.97,173.0,171.38,171.58,18913154,170.7209260707,170.7505359902,169.1516003353,169.3489997989,18913154,0.0,1.0,168.84461373789165,162.59616233740385,1.1762848510544308,7.839662657233176,62.97848155889918,178.2754876518702,146.9168370229375
36,AAPL,2019-02-25 00:00:00+00:00,174.23,175.87,173.95,174.16,21873358,171.9645426912,173.5832182925,171.6881834422,171.895452879,21873358,0.0,1.0,168.90492117334162,163.35352708685002,1.3200707473417113,7.753177983788714,64.78843305923075,178.85988305442746,147.8471711192726
37,AAPL,2019-02-26 00:00:00+00:00,174.33,175.3,173.1732,173.71,17070211,172.063242423,173.02062982130002,170.9214839257,171.4513040859,17070211,0.0,1.0,169.2437200849666,164.07991243036543,1.56504139392602,7.645593973610152,64.93495452512882,179.37110037758572,148.78872448314513
38,AAPL,2019-02-27 00:00:00+00:00,174.87,175.0,172.73,173.21,27835389,172.5962209746,172.724530626,170.4840467144,170.957805427,27835389,0.0,1.0,169.61055408809997,164.79050941906928,1.7955979237827646,7.540797343932577,65.76343919698657,179.87210410693444,149.70891473120412
39,AAPL,2019-02-28 00:00:00+00:00,173.15,174.91,172.92,174.32,28215416,170.89858558790002,172.6357008674,170.6715762048,172.0533724498,28215416,0.0,1.0,169.9165232566333,165.56886701525005,1.6602291349318878,7.052694405289276,60.833177802105176,179.6742558258286,151.4634782046715
40,AAPL,2019-03-01 00:00:00+00:00,174.97,175.15,172.89,174.28,25886167,172.69492070639998,172.8725802236,170.64196628530001,172.01389255709998,25886167,0.0,1.0,170.2521023447083,166.39287872730773,1.7870549659908865,6.54889073400518,63.915864299486024,179.4906601953181,153.29509725929736
41,AAPL,2019-03-04 00:00:00+00:00,175.85,177.75,173.97,175.69,27436203,173.5634783461,175.43877325009998,171.7079233886,173.4055587753,27436203,0.0,1.0,170.71845857739163,167.296411904977,1.8650813015523988,5.782758655951736,65.33648956294701,178.86192921688047,155.73089459307351
42,AAPL,2019-03-05 00:00:00+00:00,175.53,176.0,174.54,175.94,19737419,173.24763920439997,173.7115279438,172.2705118597,173.6523081048,19737419,0.0,1.0,171.10750002018332,167.99653190131542,1.865174880999448,5.323800550506115,64.3444560369368,178.64413300232766,157.34893080030318
43,AAPL,2019-03-06 00:00:00+00:00,174.52,175.49,173.94,174.67,20810384,172.2507719134,173.20815931169997,171.678313469,172.3988215111,20810384,0.0,1.0,171.44472410379163,168.71349813301157,1.645386095053059,4.500321928839296,61.186664817754945,177.71414199069017,159.71285427533297
44,AAPL,2019-03-07 00:00:00+00:00,172.5,174.44,172.02,173.87,24796374,170.25703733129998,172.171812128,169.7832786187,171.6092236568,24796374,0.0,1.0,171.57385625287498,169.41501747205774,1.4615709751766686,2.9472318183662978,55.33734610734679,175.30948110879035,163.52055383532513
45,AAPL,2019-03-08 00:00:00+00:00,172.91,173.07,169.5,170.32,23999358,170.6617062316,170.8196258025,167.2960453777,168.1053831784,23999358,0.0,1.0,171.6462360561833,169.7325601758808,1.3848635878539657,2.5842210411029773,56.25151964707524,174.90100225808675,164.56411809367484
46,AAPL,2019-03-11 00:00:00+00:00,178.9,179.12,175.35,175.49,32011034,176.5738201656,176.79095957560003,173.0699796872,173.20815931169997,32011034,0.0,1.0,172.29107430385,170.232510459927,1.718583945126699,2.6026519713656895,66.90838972325432,175.43781440265838,165.02720651719562
47,AAPL,2019-03-12 00:00:00+00:00,180.91,182.67,179.37,180.0,32467584,178.55768477450002,180.294800054,177.037708905,177.65951721529999,32467584,0.0,1.0,172.94413752916668,170.8057392681116,2.415404745728874,2.733714030468367,69.58569851501693,176.27316732904833,165.33831120717488
48,AAPL,2019-03-13 00:00:00+00:00,181.71,183.3,180.92,182.25,31032524,179.3472826288,180.9166083642,178.5675547477,179.88026118049999,31032524,0.0,1.0,173.5593658573,171.2305455408962,3.0102034258368855,3.1548609670447556,70.60506801640565,177.5402674749857,164.9208236068067
49,AAPL,2019-03-14 00:00:00+00:00,183.73,184.1,182.56,183.9,23579508,181.3410172109,181.70620621849997,180.18623034900003,181.5088067549,23579508,0.0,1.0,174.33251375629172,171.62128134786158,3.7027900007704697,3.7260081935175204,73.06030039991336,179.0732977348966,164.16926496082655
50,AAPL,2019-03-15 00:00:00+00:00,186.12,187.33,183.74,184.85,39042912,183.69994080060002,184.8942075552,181.3508871841,182.4464542069,39042912,0.0,1.0,175.25782374179173,172.10047701458467,4.5254511142623075,4.41296895340818,75.65162242680063,180.92641492140103,163.2745391077683
51,AAPL,2019-03-18 00:00:00+00:00,188.02,188.39,185.79,185.8,26219832,185.57523570450002,185.9404247121,183.3742316857,183.3841016589,26219832,0.0,1.0,176.48087791817503,172.77653779231545,5.176630000376929,5.0584971652628195,77.50417659482352,182.8935321228411,162.6595434617898
52,AAPL,2019-03-19 00:00:00+00:00,186.53,188.99,185.92,188.35,31646369,184.1046097009,186.5326231029,183.502541337,185.9009448194,31646369,0.0,1.0,177.43168533438336,173.38847612938855,5.458203809960724,5.430658043452376,72.82470340874308,184.24979221629332,162.52716004248379
53,AAPL,2019-03-20 00:00:00+00:00,188.16,189.49,184.73,186.23,31035231,185.71341532900001,187.0261217618,182.3280145288,183.80851050560003,31035231,0.0,1.0,178.44418008295835,174.09949381260006,5.792111847163706,5.789980174217957,74.62933954223972,185.67945416103598,162.51953346416414
54,AAPL,2019-03-21 00:00:00+00:00,195.09,196.33,189.81,190.02,51034237,192.55330674180001,193.77718341599999,187.3419609035,187.5492303403,51034237,0.0,1.0,180.05298571107502,175.0181605469193,6.809341895410971,6.714747579101469,80.54472494065811,188.44765570512223,161.58866538871635
55,AAPL,2019-03-22 00:00:00+00:00,191.05,197.69,190.78,195.34,42407666,188.5658375777,195.11949976830002,188.2993483018,192.80005607130002,42407666,0.0,1.0,181.41257451643332,175.81041570168085,6.738295128707494,7.056061396282667,70.26000929566722,189.9225384942462,161.6982929091155
56,AAPL,2019-03-25 00:00:00+00:00,188.74,191.98,186.6,191.51,43845293,186.2858737734,189.48374508330002,184.1736995132,189.0198563439,43845293,0.0,1.0,182.74831088660832,176.49144385100774,5.856958329503599,7.183551151746776,65.13838769105762,190.85854615450128,162.1243415475142
57,AAPL,2019-03-26 00:00:00+00:00,186.79,192.88,184.58,191.66400000000002,49800538,184.36122900360002,190.37204266930001,182.17996493110002,189.1718539308,49800538,0.0,1.0,183.88993778427496,177.1128725469116,4.45400043569515,7.1366598111461945,61.090046945549226,191.38619216920398,162.83955292461923
58,AAPL,2019-03-27 00:00:00+00:00,188.47,189.76,186.55,188.75,29848427,186.0193844976,187.29261103759998,184.1243496473,186.2957437466,29848427,0.0,1.0,184.677068145275,177.77871612211544,3.8351649783763437,7.1286622729122975,63.211398687976526,192.03604066794003,163.52139157629085
59,AAPL,2019-03-28 00:00:00+00:00,188.72,189.55900000000003,187.53,188.95,20780363,186.266133827,187.0942245767,185.0916070188,186.4931432101,20780363,0.0,1.0,185.31943889964998,178.4122924773116,3.3292094228675815,7.122571787224569,63.530040431904276,192.65743605176075,164.16714890286246
60,AAPL,2019-03-29 00:00:00+00:00,189.95,190.08,188.54,189.83,23563961,187.480140528,187.6084501793,186.0884743098,187.36170084990002,23563961,0.0,1.0,185.99717705791667,179.12938399017315,2.7864937574545836,7.058107146433488,65.13028928475217,193.24559828304012,165.01316969730618
61,AAPL,2019-04-01 00:00:00+00:00,191.24,191.68,188.38,191.64,27861964,188.7533670681,189.1876458879,185.930554739,189.1481659952,27861964,0.0,1.0,186.61487287934997,179.82293941315004,2.4633348309140515,7.084728084325625,66.77679430776803,193.99239558180128,165.6534832444988
