,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,sma12,sma26,smstd12,smstd26,rsi14,uprBol,lwrBol
25,AMZN,2015-02-09 00:00:00+00:00,370.56,374.41,367.2,371.0,2724630,370.56,374.41,367.2,371.0,2724630,0.0,1.0,342.54333333333346,317.94038461538463,30.217777829775912,31.071057848843118,73.78386568281758,380.08250031307085,255.7982689176984
26,AMZN,2015-02-10 00:00:00+00:00,372.995,374.3,368.51,371.19,2287232,372.995,374.3,368.51,371.19,2287232,0.0,1.0,347.59375000000006,320.42019230769233,29.781408258188666,32.813196932964956,74.55608360595095,386.04658617362225,254.79379844176242
27,AMZN,2015-02-11 00:00:00+00:00,375.14,377.1,371.1,371.23,2786523,375.14,377.1,371.1,371.23,2786523,0.0,1.0,353.05041666666676,323.22596153846155,28.153441615735108,34.27820526279729,75.24775347959044,391.7823720640561,254.66955101286698
28,AMZN,2015-02-12 00:00:00+00:00,377.17,378.51,373.15,375.1,2791050,377.17,378.51,373.15,375.1,2791050,0.0,1.0,358.9187500000001,326.37519230769226,24.759858837624474,35.353396568951354,75.91504284409488,397.08198544559497,255.66839916978955
29,AMZN,2015-02-13 00:00:00+00:00,381.83,383.0,377.01,378.41,3475069,381.83,383.0,377.01,378.41,3475069,0.0,1.0,365.41208333333344,329.5832692307692,18.430604421886482,36.48162466070581,77.4199153545403,402.5465185521808,256.62001990935755
30,AMZN,2015-02-17 00:00:00+00:00,375.43,379.985,372.67,377.72,3673208,375.43,379.985,372.67,377.72,3673208,0.0,1.0,370.7162500000002,332.46673076923076,7.52515210507711,37.04608386705157,70.87056164241366,406.5588985033339,258.3745630351276
31,AMZN,2015-02-18 00:00:00+00:00,373.37,376.74,372.85,373.78,2650610,373.37,376.74,372.85,373.78,2650610,0.0,1.0,372.28625000000017,335.4067307692308,5.546300620069433,37.14608611798313,68.85158350293838,409.69890300519705,261.1145585332646
32,AMZN,2015-02-19 00:00:00+00:00,378.995,381.88,373.43,373.49,2953752,378.995,381.88,373.43,373.49,2953752,0.0,1.0,373.49666666666684,338.77538461538467,5.263149909483662,36.96753938046402,71.25928836208489,412.7104633763127,264.84030585445663
33,AMZN,2015-02-20 00:00:00+00:00,383.66,383.7,375.84,378.62,3258023,383.66,383.7,375.84,378.62,3258023,0.0,1.0,375.1725000000001,342.1953846153847,5.003311403460799,36.843659642415524,73.11532230816421,415.88270390021574,268.5080653305536
34,AMZN,2015-02-23 00:00:00+00:00,380.14,384.54,378.0,383.44,2176989,380.14,384.54,378.0,383.44,2176989,0.0,1.0,376.45500000000015,345.5365384615385,3.950537938053633,36.161988849321695,69.46979693062946,417.8605161601819,273.2125607628951
35,AMZN,2015-02-24 00:00:00+00:00,378.59,380.48,376.16,378.65,1921850,378.59,380.48,376.16,378.65,1921850,0.0,1.0,376.8466666666668,349.06115384615384,3.905851282681563,34.65797975380836,67.86517610111784,418.3771133537706,279.7451943385371
36,AMZN,2015-02-25 00:00:00+00:00,385.37,387.85,376.54,377.27,3174495,385.37,387.85,376.54,377.27,3174495,0.0,1.0,377.7708333333335,352.70076923076925,4.508807962469146,33.22766770907373,71.01857433981628,419.1561046489167,286.2454338126218
37,AMZN,2015-02-26 00:00:00+00:00,384.8,389.37,383.28,384.07,2687107,384.8,389.37,383.28,384.07,2687107,0.0,1.0,378.95750000000015,356.36846153846153,4.3078973462067855,31.16448753851837,70.39316661120617,418.69743661549825,294.0394864614248
38,AMZN,2015-02-27 00:00:00+00:00,380.16,385.99,379.79,384.0,2532309,380.16,385.99,379.79,384.0,2532309,0.0,1.0,379.5545833333335,359.5573076923077,3.881825635593688,29.042926616674553,65.34826000697961,417.6431609256568,301.4714544589586
39,AMZN,2015-03-02 00:00:00+00:00,385.655,385.9,379.481,380.85,2139205,385.655,385.9,379.481,380.85,2139205,0.0,1.0,380.4308333333334,362.4548076923077,3.9802585761899967,27.659199969658246,68.25025873929027,417.77320763162425,307.1364077529912
40,AMZN,2015-03-03 00:00:00+00:00,384.61,386.1,381.601,383.95,1946498,384.61,386.1,381.601,383.95,1946498,0.0,1.0,381.0508333333334,365.2325000000001,4.0055262015764965,26.00734220369325,67.0993946196467,417.24718440738656,313.2178155926136
41,AMZN,2015-03-04 00:00:00+00:00,382.72,387.9,382.19,385.71,2259141,382.72,387.9,382.19,385.71,2259141,0.0,1.0,381.12500000000006,368.0425000000001,4.029433188201846,23.598099510342013,64.9656914116764,415.2386990206841,320.846300979316
42,AMZN,2015-03-05 00:00:00+00:00,387.83,388.4182,383.89,385.61,2693518,387.83,388.4182,383.89,385.61,2693518,0.0,1.0,382.15833333333336,371.1609615384616,4.0261680029377285,20.301415961416723,67.93459388988721,411.76379346129505,330.55812961562816
43,AMZN,2015-03-06 00:00:00+00:00,380.09,387.0,378.88,385.52,2627042,380.09,387.0,378.88,385.52,2627042,0.0,1.0,382.7183333333334,374.0909615384616,3.03899380277982,15.016678395652809,59.68433653975738,404.1243183297672,344.057604747156
44,AMZN,2015-03-09 00:00:00+00:00,378.56,379.33,375.28,378.4,2311390,378.56,379.33,375.28,378.4,2311390,0.0,1.0,382.6820833333334,376.6594230769231,3.089617112445483,8.008271389872485,58.18020130364895,392.67596585666803,360.6428802971781
