,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,sma12,sma26,smstd12,smstd26,rsi14,uprBol,lwrBol
0,TSLA,2020-01-02 00:00:00+00:00,430.26,430.6957,421.71,424.5,9558386,430.26,430.6957,421.71,424.5,9558386,0.0,1.0,,,,,,,
1,TSLA,2020-01-03 00:00:00+00:00,443.01,454.0,436.92,440.5,17794697,443.01,454.0,436.92,440.5,17794697,0.0,1.0,,,,,,,
2,TSLA,2020-01-06 00:00:00+00:00,451.54,451.56,440.0,440.47,10157499,451.54,451.56,440.0,440.47,10157499,0.0,1.0,,,,,,,
3,TSLA,2020-01-07 00:00:00+00:00,469.06,471.63,453.355,461.4,18209138,469.06,471.63,453.355,461.4,18209138,0.0,1.0,,,,,,,
4,TSLA,2020-01-08 00:00:00+00:00,492.14,498.49,468.23,473.7,31199393,492.14,498.49,468.23,473.7,31199393,0.0,1.0,,,,,,,
5,TSLA,2020-01-09 00:00:00+00:00,481.34,498.8,472.87,497.1,28463186,481.34,498.8,472.87,497.1,28463186,0.0,1.0,,,,,,,
6,TSLA,2020-01-10 00:00:00+00:00,478.15,484.94,473.7,481.79,12976832,478.15,484.94,473.7,481.79,12976832,0.0,1.0,,,,,,,
7,TSLA,2020-01-13 00:00:00+00:00,524.86,525.63,492.0,493.5,26307458,524.86,525.63,492.0,493.5,26307458,0.0,1.0,,,,,,,
8,TSLA,2020-01-14 00:00:00+00:00,537.92,547.41,524.9,544.255,29061377,537.92,547.41,524.9,544.255,29061377,0.0,1.0,,,,,,,
9,TSLA,2020-01-15 00:00:00+00:00,518.5,537.84,516.7853,529.76,17368831,518.5,537.84,516.7853,529.76,17368831,0.0,1.0,,,,,,,
10,TSLA,2020-01-16 00:00:00+00:00,513.49,514.46,492.17,493.75,21736653,513.49,514.46,492.17,493.75,21736653,0.0,1.0,,,,,,,
11,TSLA,2020-01-17 00:00:00+00:00,510.5,515.6699,503.16,507.61,13629073,510.5,515.6699,503.16,507.61,13629073,0.0,1.0,487.5641666666666,,34.56115435212652,,,,
12,TSLA,2020-01-21 00:00:00+00:00,547.2,548.58,528.41,530.25,17447270,547.2,548.58,528.41,530.25,17447270,0.0,1.0,497.3091666666666,,33.401540644470906,,,,
13,TSLA,2020-01-22 00:00:00+00:00,569.56,594.5,559.1,571.89,31369028,569.56,594.5,559.1,571.89,31369028,0.0,1.0,507.85499999999985,,34.65347982001756,,,,
14,TSLA,2020-01-23 00:00:00+00:00,572.2,582.0,555.6027,564.25,19651042,572.2,582.0,555.6027,564.25,19651042,0.0,1.0,517.9099999999999,,34.33149071254343,,81.57590318562023,,
15,TSLA,2020-01-24 00:00:00+00:00,564.82,573.86,554.26,570.63,14353600,564.82,573.86,554.26,570.63,14353600,0.0,1.0,525.8899999999998,,33.04985847858574,,78.78983207721805,,
16,TSLA,2020-01-27 00:00:00+00:00,558.02,564.44,539.28,541.99,13608068,558.02,564.44,539.28,541.99,13608068,0.0,1.0,531.3799999999998,,32.39923932889334,,76.20719422337211,,
17,TSLA,2020-01-28 00:00:00+00:00,566.9,576.81,558.08,568.49,11788493,566.9,576.81,558.08,568.49,11788493,0.0,1.0,538.5099999999996,,29.686917534955914,,77.25566266231608,,
18,TSLA,2020-01-29 00:00:00+00:00,580.99,589.7999,567.43,575.69,18216672,580.99,589.7999,567.43,575.69,18216672,0.0,1.0,547.0799999999997,,25.179944761294028,,78.84837093146857,,
19,TSLA,2020-01-30 00:00:00+00:00,640.81,650.88,618.0,632.42,29005676,640.81,650.88,618.0,632.42,29005676,0.0,1.0,556.7424999999997,,35.860263428784464,,83.9781235710397,,
20,TSLA,2020-01-31 00:00:00+00:00,650.57,653.0,632.52,640.0,15719266,650.57,653.0,632.52,640.0,15719266,0.0,1.0,566.1299999999998,,44.2486310009083,,84.63295722977264,,
21,TSLA,2020-02-03 00:00:00+00:00,780.0,786.14,673.52,673.69,47233495,780.0,786.14,673.52,673.69,47233495,0.0,1.0,587.9216666666664,,73.42936863944746,,90.29672776137583,,
22,TSLA,2020-02-04 00:00:00+00:00,887.06,968.9899,833.88,882.96,60938758,887.06,968.9899,833.88,882.96,60938758,0.0,1.0,619.0524999999998,,109.3886806612922,,92.69505845593179,,
